PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,Sistema,Sistema_ID
-54.97962650371958,-2.1518175122758567,-20.639441163115784,20.899312058974402,-9.507285319707297,-11.618575332710181,-4.851480552605264,-0.7084210823526443,1.742261098790218,-3.6675531684575375,0.36657931224604545,0.42388867079158604,-0.48944076400079445,1.133209040181591,-1.3889340574973428,-1.98126543817464,-2.298854444377276,1.638680427530548,-2.6618557742302333,-1.100854168937601,-7.470500384096526,-3.9619722377184043,2.7801055830351173,1.3003980119795406,-1.1545504573507475,SARS,1
-58.194479599978955,-1.0874628936584507,-16.223473288259694,23.440819277432883,-10.237912570811242,-11.487321884827374,-8.159636740013493,0.9924482924657773,2.3718286183182484,-0.2714105486769812,0.7735276852702316,3.203511038467052,-2.3803565411480867,3.439773726290521,1.965389112608732,4.134181760941253,3.575347874743744,-5.880708959127638,6.734861479136848,6.170568186543742,-3.51253432511628,-1.9633818134494525,-4.73361534344494,-9.342171720978737,-0.554384734222467,SARS,1
-58.707164850559394,-0.34677013148465313,-13.166175173567487,23.529437973498723,-9.317329774693187,-14.632982171791403,-8.654050086372118,-0.923671281311829,2.092023753581662,-1.1678130723223414,0.5132735816604908,2.654883969739638,1.2672953949101553,6.494563644873399,0.8165260912228538,2.6409093154290137,0.1637863707112152,-0.9847040077345642,2.1916833432699043,9.803175227103614,18.174924762676955,12.945211190499986,-3.455862390861474,14.681604580903333,2.1376818720933155,SARS,1
-57.87231396300531,0.22064137199711487,-4.376418558778723,16.88213000607122,1.328269666211374,0.5338970329472429,-0.5373654737819962,2.9385282683213276,-3.360835969301347,2.699516034411241,3.372620406629215,-5.782768015848716,-2.3021864557699736,-15.778252922367045,0.8626231124061938,2.3002770786906583,6.032540382949843,-1.7391821548334023,-1.7956897159522205,-5.064968870981451,5.490935308389468,6.959028727945832,-11.545441011561868,-5.583811655832457,-7.720324792795427,SARS,1
-60.659483241740084,3.545846893056915,10.055150507208511,18.320375299787468,7.0285717214140835,7.132641650702425,3.7536766037373583,1.464769702796019,-0.15222645998494266,0.8880060084185671,2.9453590905514,-3.4512363756131883,5.557525333590502,-6.009536187334753,1.2231434394646787,-3.636868759536207,1.462940820916729,2.1309531042965073,2.963286897549208,-7.756992870711644,3.59224071924302,-2.05661711633246,8.136512859774063,8.46329529790297,2.658994163728283,SARS,1
-65.77121715012994,5.885267439671575,25.26554058498521,20.096307384690512,10.12710404211167,3.272036268819015,-3.7132698745167385,-2.8500192230703143,-2.352498377157112,9.167919359893517,3.4208093077219823,-6.38011589459382,3.688886617808102,-7.384903060510185,0.8611367822156843,-0.6000599666733117,1.4367715652261,1.2501163044397283,-1.031288611921008,-3.450731061176879,9.862520323090077,-1.376713669049619,-4.488608212957376,-13.860434935080745,2.7570044329527748,SARS,1
-54.73127927488833,-4.100109260686987,-11.719615025921339,7.067620853329001,0.4115720297210188,16.6134163206749,19.737728803958152,7.175199820418869,-3.509627139014948,-9.978758543754132,-6.962289036816099,5.217125330132282,0.5107156461620016,-0.9273449658619868,1.336158386610661,-4.9988958607705145,-2.443074643388033,0.8679485412695399,-2.4900655232838926,3.0278719700087104,-4.037034604942568,4.18048297197972,-3.2639492675942634,5.464080784808575,-3.941922505422443,SARS,1
-63.60120755107135,1.4777848248483842,14.779697547242309,16.14925759820212,11.372268735538183,22.96472987976729,20.71614860822561,7.01473479742643,-5.716061865596716,-7.114041368024844,0.2834523376402697,-1.8379365390273759,8.026899422161488,-11.921622148905554,1.1475240440041088,-3.4352246317123174,2.363261508578094,-5.631988106500739,4.100587057090481,12.272691318551384,-6.344533743258799,0.12387174885851839,4.681401088728397,3.3169032575393915,0.6508121987639583,SARS,1
-61.65681880321986,2.5049421136577714,1.6643469431686067,25.16257564954621,-2.2995449578210607,-11.325005630902682,-11.996750091022296,-5.004349051165913,3.1892507320879724,2.223448257340775,3.535752538964903,-4.883949629725313,1.4077512913294548,-6.794665033288314,-4.331797183730361,-9.857007076171477,-4.917794962049863,7.274684575441918,-9.701952108042947,-11.126017881053107,-7.534140142361841,-5.876681823809632,8.205687958831353,0.34524150116067936,3.546613663270077,SARS,1
-53.704297799038244,-3.856670015939292,-27.05733240068256,21.234889803175683,-12.364368729011437,-11.34887024952567,-1.7320014406284745,0.3876119109354684,2.038630375700948,-4.4702565198544315,-0.9036914433440558,4.269791101007621,-0.4233561595661631,8.291958160962455,1.4670735240106578,1.6821744780058947,-2.800538061046985,-2.0468330506778982,3.561216135724977,3.87119351980199,-8.96195320210032,-4.803319634737412,2.293355268890466,-2.449153275296791,0.410271580349213,SARS,1
